"FIPS","County","State","caShort"
"55001","Adams","Wisconsin","wisconsin"
"55003","Ashland","Wisconsin","wisconsin"
"55005","Barron","Wisconsin","wisconsin"
"55007","Bayfield","Wisconsin","wisconsin"
"55009","Brown","Wisconsin","wisconsin"
"55011","Buffalo","Wisconsin","wisconsin"
"55013","Burnett","Wisconsin","wisconsin"
"55015","Calumet","Wisconsin","wisconsin"
"55017","Chippewa","Wisconsin","wisconsin"
"55019","Clark","Wisconsin","wisconsin"
"55021","Columbia","Wisconsin","wisconsin"
"55023","Crawford","Wisconsin","wisconsin"
"55025","Dane","Wisconsin","wisconsin"
"55027","Dodge","Wisconsin","wisconsin"
"55029","Door","Wisconsin","wisconsin"
"55031","Douglas","Wisconsin","wisconsin"
"55033","Dunn","Wisconsin","wisconsin"
"55035","Eau Claire","Wisconsin","wisconsin"
"55037","Florence","Wisconsin","wisconsin"
"55039","Fond du Lac","Wisconsin","wisconsin"
"55041","Forest","Wisconsin","wisconsin"
"55043","Grant","Wisconsin","wisconsin"
"55045","Green","Wisconsin","wisconsin"
"55047","Green Lake","Wisconsin","wisconsin"
"55049","Iowa","Wisconsin","wisconsin"
"55051","Iron","Wisconsin","wisconsin"
"55053","Jackson","Wisconsin","wisconsin"
"55055","Jefferson","Wisconsin","wisconsin"
"55057","Juneau","Wisconsin","wisconsin"
"55059","Kenosha","Wisconsin","wisconsin"
"55061","Kewaunee","Wisconsin","wisconsin"
"55063","La Crosse","Wisconsin","wisconsin"
"55065","Lafayette","Wisconsin","wisconsin"
"55067","Langlade","Wisconsin","wisconsin"
"55069","Lincoln","Wisconsin","wisconsin"
"55071","Manitowoc","Wisconsin","wisconsin"
"55073","Marathon","Wisconsin","wisconsin"
"55075","Marinette","Wisconsin","wisconsin"
"55077","Marquette","Wisconsin","wisconsin"
"55078","Menominee","Wisconsin","wisconsin"
"55079","Milwaukee","Wisconsin","wisconsin"
"55081","Monroe","Wisconsin","wisconsin"
"55083","Oconto","Wisconsin","wisconsin"
"55085","Oneida","Wisconsin","wisconsin"
"55087","Outagamie","Wisconsin","wisconsin"
"55089","Ozaukee","Wisconsin","wisconsin"
"55091","Pepin","Wisconsin","wisconsin"
"55093","Pierce","Wisconsin","wisconsin"
"55095","Polk","Wisconsin","wisconsin"
"55097","Portage","Wisconsin","wisconsin"
"55099","Price","Wisconsin","wisconsin"
"55101","Racine","Wisconsin","wisconsin"
"55103","Richland","Wisconsin","wisconsin"
"55105","Rock","Wisconsin","wisconsin"
"55107","Rusk","Wisconsin","wisconsin"
"55109","St. Croix","Wisconsin","wisconsin"
"55111","Sauk","Wisconsin","wisconsin"
"55113","Sawyer","Wisconsin","wisconsin"
"55115","Shawano","Wisconsin","wisconsin"
"55117","Sheboygan","Wisconsin","wisconsin"
"55119","Taylor","Wisconsin","wisconsin"
"55121","Trempealeau","Wisconsin","wisconsin"
"55123","Vernon","Wisconsin","wisconsin"
"55125","Vilas","Wisconsin","wisconsin"
"55127","Walworth","Wisconsin","wisconsin"
"55129","Washburn","Wisconsin","wisconsin"
"55131","Washington","Wisconsin","wisconsin"
"55133","Waukesha","Wisconsin","wisconsin"
"55135","Waupaca","Wisconsin","wisconsin"
"55137","Waushara","Wisconsin","wisconsin"
"55139","Winnebago","Wisconsin","wisconsin"
"55141","Wood","Wisconsin","wisconsin"
